,khipu_id,name,cluster_id,cluster_position,m,b,residual,num_cords,cord_values,mean_cord_value
41,1000004,UR010,1000042,2,-85.76360520094116,39.999999999999986,0.7971428571428572,3,"32, 5, 3",13.0
42,1000009,UR012,1000318,3,-84.50767544287255,46.0,0.9211428571428572,4,"41, 23, 11, 7",20.0
43,1000045,UR022,1001926,10,-73.83550084774308,34.25,0.6253846153846154,9,"48, 27, 23, 13, 11, 7, 10, 18, 3",17.0
44,1000335,UR026,1012695,0,-79.69515353123397,35.0,0.6078078078078077,7,"35, 40, 10, 1, 0, 4, 6",13.0
45,1000304,UR028,1008431,1,-83.6598082540901,35.99999999999999,0.7912087912087913,3,"29, 13, 12",18.0
46,1000331,UR037,1012392,3,-38.659808254090095,4.0,0.8,4,"4, 2, 2, 1",2.0
47,1000238,UR049,1006331,6,-80.9097230791777,36.0,0.6366414435389989,7,"44, 10, 23, 0, 0, 0, 0",11.0
48,1000246,UR061,1006486,8,-84.70991879462873,54.0,0.6156769596199523,4,"37, 33, 36, 2",27.0
49,1000261,UR066,1006628,2,-78.23171106797936,18.0,0.7486238532110091,4,"19, 4, 3, 0",6.0
50,1000262,UR068,1006638,4,-57.994616791916506,6.0,0.6634146341463416,4,"8, 2, 1, 0",2.0
51,1000262,UR068,1006640,6,-86.42366562500266,56.0,0.6583732057416267,4,"56, 5, 4, 1",16.0
52,1000262,UR068,1006644,10,-86.33221194446858,56.0,0.6419138755980861,4,"57, 5, 6, 2",17.0
53,1000262,UR068,1006649,15,-85.23635830927381,42.0,0.6183574879227054,4,"43, 3, 2, 2",12.0
54,1000333,UR1034,1012485,2,-45.0,5.0,0.7,5,"4, 4, 4, 0, 0",2.0
55,1000176,UR1058,1005365,5,-50.1944289077348,4.0,0.7999999999999999,4,"3, 1, 0, 0",1.0
56,1000176,UR1058,1005368,8,-56.30993247402021,3.9999999999999987,0.7500000000000007,3,"2, 1, 0",1.0
57,1000313,UR1088,1008580,3,-72.64597536373869,12.0,0.6400000000000001,4,"10, 3, 1, 2",4.0
58,1000313,UR1088,1008585,8,-72.64597536373869,12.0,0.6400000000000001,4,"10, 3, 1, 2",4.0
59,1000313,UR1088,1008597,20,-56.30993247402021,3.9999999999999987,0.7500000000000007,3,"2, 1, 0",1.0
60,1000042,UR1100,1001883,2,-36.86989764584401,12.75,0.6370967741935485,9,"15, 12, 13, 8, 8, 8, 11, 6, 5",9.0
61,1000049,UR1105,1002044,0,-84.94910383110204,59.60000000000001,0.8404059126083129,6,"65, 33, 15, 12, 0, 0",20.0
62,1000049,UR1105,1002045,1,-82.61395684873274,54.00000000000001,0.7323993932363702,6,"62, 28, 26, 21, 14, 14",27.0
63,1000050,UR1106,1002067,4,-83.21102542556122,30.0,0.7940298507462688,4,"30, 9, 0, 0",9.0
64,1000057,UR1113,1002195,3,-82.65472224883591,76.66666666666667,0.6469334388116115,10,"107, 53, 44, 51, 19, 11, 14, 11, 18, 18",34.0
65,1000057,UR1113,1002199,7,-85.13476515058744,144.36363636363637,0.7508653504515257,12,"184, 113, 82, 94, 53, 50, 83, 44, 43, 57, 13, 0",68.0
66,1000057,UR1113,1002200,8,-85.94266047345539,163.63636363636365,0.6218471614986285,12,"256, 93, 80, 83, 71, 58, 68, 59, 71, 30, 0, 0",72.0
