,khipu_id,name,num_sum_clusters,num_sum_cords,num_left_sums,num_right_sums,max_indexed_cluster_cords,min_sum,max_sum,mean_sum,handedness
324,1000116,UR1141,0,0,0,0,0,0,0,0,0.0
325,1000118,UR1143,1,2,0,2,2,18504,97357,57930.5,11.0
326,1000119,UR1144,0,0,0,0,0,0,0,0,0.0
327,1000120,UR1145,4,7,3,4,2,6,34,18.142857142857142,1.4285714285714286
328,1000121,UR1146,1,1,0,1,1,9,9,9,79.0
329,1000122,UR1147,1,1,0,1,1,51,51,51,9.0
330,1000123,UR1148,2,2,0,2,1,281,1327,804,5.0
331,1000124,UR1149,8,11,0,11,3,110,20640,3918.4545454545455,33.09090909090909
332,1000125,UR1150,0,0,0,0,0,0,0,0,0.0
333,1000126,UR1151,0,0,0,0,0,0,0,0,0.0
334,1000127,UR1152,2,3,2,1,2,114,822,393.6666666666667,-6.666666666666667
335,1000129,UR1154,0,0,0,0,0,0,0,0,0.0
336,1000134,UR1161,0,0,0,0,0,0,0,0,0.0
337,1000135,UR1162A,0,0,0,0,0,0,0,0,0.0
338,1000136,UR1162B,0,0,0,0,0,0,0,0,0.0
339,1000137,UR1163,0,0,0,0,0,0,0,0,0.0
340,1000139,UR1165,0,0,0,0,0,0,0,0,0.0
341,1000140,UR1166,4,6,3,3,3,6,65,21.333333333333332,9.166666666666666
342,1000141,UR1167,0,0,0,0,0,0,0,0,0.0
343,1000285,UR116A,1,1,0,1,1,6,6,6,28.0
344,1000283,UR116B,0,0,0,0,0,0,0,0,0.0
345,1000147,UR1175,36,60,22,38,5,6,290,63.266666666666666,36.05
346,1000148,UR1176,4,5,1,4,2,13,44,25,51.4
347,1000151,UR1179,0,0,0,0,0,0,0,0,0.0
348,1000288,UR117A,0,0,0,0,0,0,0,0,0.0
349,1000289,UR117B,0,0,0,0,0,0,0,0,0.0
350,1000290,UR117C,0,0,0,0,0,0,0,0,0.0
351,1000291,UR117D,1,1,0,1,1,9,9,9,2.0
352,1000293,UR118,10,11,9,2,2,15,375,111.81818181818181,-43.54545454545455
353,1000152,UR1180,0,0,0,0,0,0,0,0,0.0
354,1000329,UR119,9,10,4,6,2,34,229,94.2,29.6
355,1000320,UR120,0,0,0,0,0,0,0,0,0.0
356,1000322,UR121,0,0,0,0,0,0,0,0,0.0
357,1000323,UR122,2,3,1,2,2,1000,2283,1852.3333333333333,12.0
358,1000324,UR123,0,0,0,0,0,0,0,0,0.0
359,1000325,UR124,0,0,0,0,0,0,0,0,0.0
360,1000326,UR125,0,0,0,0,0,0,0,0,0.0
361,1000328,UR127,0,0,0,0,0,0,0,0,0.0
362,1000377,UR128,0,0,0,0,0,0,0,0,0.0
363,1000378,UR129,0,0,0,0,0,0,0,0,0.0
364,1000316,UR130,0,0,0,0,0,0,0,0,0.0
365,1000300,UR131A,1,1,0,1,1,22,22,22,25.0
366,1000301,UR131B,0,0,0,0,0,0,0,0,0.0
367,1000302,UR131C,0,0,0,0,0,0,0,0,0.0
368,1000317,UR132,0,0,0,0,0,0,0,0,0.0
