,khipu_id,name,cord_id,cord_name,cord_position,cord_position_index,cord_value,num_summands,sum_string,handedness
103,1000329,UR119,3028980,p113s2,"W:KB@[31, 2, 1]:13",2,13,4,"W:KB@[33, 2, 2]:3+W:KB@[35, 2, 3]:3+W:KB@[42, 2, 1]:4+W:KB@[44, 2, 1]:3",25
104,1000329,UR119,3028987,p120s2,"W:MB@[33, 2, 1]:14",2,14,2,"W:MB@[44, 2, 0]:6+W:MB@[48, 2, 3]:8",43
105,1000302,UR131C,3026021,p1s1,"W:KB@[0, 0, 0]:10",0,10,2,"W:KB@[3, 0, 0]:10+W:KB@[4, 0, 0]:0",14
106,1000415,UR145,3036332,p1s3,"W:KB@[0, 0, 2]:14",0,14,3,"W:KB@[3, 0, 2]:8+W:KB@[6, 0, 0]:3+W:KB@[8, 0, 1]:3",6
107,1000415,UR145,3036334,p3s1,"W:KB@[2, 0, 0]:8",0,8,3,"W:KB@[8, 0, 1]:3+W:KB@[9, 0, 0]:0+W:KB@[15, 0, 0]:5",9
108,1000415,UR145,3036338,p4s3,"W:KB@[3, 0, 2]:8",0,8,3,"W:KB@[8, 0, 1]:3+W:KB@[9, 0, 0]:0+W:KB@[15, 0, 0]:5",8
109,1000413,UR149,3036221,p88s1,"HB@[19, 4, 0]:10",4,10,2,"HB@[7, 4, 0]:10+HB@[11, 4, 0]:0",-38
110,1000477,UR169,3040266,p19s3,"W:KB@[3, 2, 2]:5",2,5,3,"W:KB@[0, 2, 3]:2+W:KB@[1, 2, 1]:2+W:KB@[2, 2, 2]:1",-10
111,1000505,UR194,3042506,p4s5,"KB@[0, 3, 4]:5",3,5,2,"KB@[1, 3, 1]:4+KB@[2, 3, 0]:1",13
112,1000506,UR195,3042708,p2s1,"LG@[1, 0, 0]:21",0,21,2,"LG@[13, 0, 0]:15+LG@[23, 0, 0]:6",55
113,1000509,UR198,3044308,p237s2,"AB@[36, 3, 1]:5",3,5,2,"AB@[27, 3, 0]:2+AB@[29, 3, 0]:3",-32
114,1000509,UR198,3044236,p35s1,"AB@[8, 2, 0]:5",2,5,3,"AB@[27, 2, 0]:1+AB@[36, 2, 1]:3+AB@[37, 2, 0]:1",189
115,1000509,UR198,3044243,p54s2,"AB@[13, 2, 1]:5",2,5,3,"AB@[27, 2, 0]:1+AB@[36, 2, 1]:3+AB@[37, 2, 0]:1",170
116,1000513,UR202,3043555,p50s1,"AB@[5, 5, 0]:10",5,10,2,"AB@[3, 5, 0]:10+AB@[4, 5, 0]:0",-12
117,1000513,UR202,3043564,p67s1,"W@[7, 4, 0]:10",4,10,2,"W@[3, 4, 0]:10+W@[4, 4, 0]:0",-30
118,1000513,UR202,3043546,p34s1,"AB@[3, 5, 0]:10",5,10,2,"AB@[4, 5, 0]:0+AB@[5, 5, 0]:10",12
119,1000518,UR207,3044600,p42s1,"W@[5, 7, 0]:5",7,5,3,"W@[8, 7, 0]:2+W@[9, 7, 0]:1+W@[10, 7, 0]:2",49
120,1000519,UR208,3044810,p96s1,"G0@[20, 4, 0]:10",4,10,2,"G0@[9, 4, 0]:0+G0@[18, 4, 0]:10",-30
121,1000519,UR208,3044812,p101s1,"G0@[21, 4, 0]:10",4,10,2,"G0@[9, 4, 0]:0+G0@[18, 4, 0]:10",-35
122,1000519,UR208,3044818,p116s1,"BG@[24, 4, 0]:40",4,40,2,"BG@[5, 4, 0]:30+BG@[6, 4, 0]:10",-87
123,6000005,AS006,6001189,p17s2,"MB@[4, 2, 1]:6",2,6,3,"MB@[6, 2, 1]:1+MB@[8, 2, 1]:2+MB@[10, 2, 1]:3",14
124,6000005,AS006,6001196,p21s4,"MB@[5, 0, 3]:9",0,9,3,"MB@[7, 0, 3]:1+MB@[9, 0, 3]:2+MB@[11, 0, 2]:6",14
125,6000017,KH0049,6002619,p93s6,"MB@[6, 2, 5]:5",2,5,2,"MB@[3, 2, 2]:1+MB@[5, 2, 4]:4",-36
126,6000017,KH0049,6002415,p19s5,"GG@[2, 0, 4]:5",0,5,4,"GG@[3, 0, 5]:2+GG@[4, 0, 3]:1+GG@[5, 0, 6]:1+GG@[6, 0, 5]:1",45
127,6000017,KH0049,6002420,p20s2,"AB@[2, 1, 1]:19",1,19,3,"AB@[3, 1, 0]:9+AB@[5, 1, 0]:5+AB@[6, 1, 2]:5",48
128,6000017,KH0049,6002424,p23s3,"AB@[2, 4, 2]:13",4,13,3,"AB@[3, 4, 1]:7+AB@[5, 4, 1]:2+AB@[6, 4, 2]:4",48
129,6000017,KH0049,6002432,p25s2,"W@[2, 6, 1]:6",6,6,3,"W@[3, 6, 1]:3+W@[5, 6, 1]:1+W@[6, 6, 1]:2",48
130,6000017,KH0049,6002433,p25s3,"AB@[2, 6, 2]:24",6,24,3,"AB@[3, 6, 2]:14+AB@[5, 6, 2]:5+AB@[6, 6, 2]:5",48
131,6000017,KH0049,6002434,p25s4,"MB@[2, 6, 3]:14",6,14,2,"MB@[3, 6, 3]:1+MB@[6, 6, 3]:13",45
132,6000017,KH0049,6002436,p26s2,"W@[2, 7, 1]:13",7,13,3,"W@[3, 7, 0]:9+W@[5, 7, 0]:2+W@[6, 7, 1]:2",48
133,6000017,KH0049,6002442,p28s2,"W@[2, 9, 1]:282",9,282,4,"W@[3, 9, 2]:130+W@[4, 9, 1]:30+W@[5, 9, 1]:44+W@[6, 9, 5]:88",45
134,6000017,KH0049,6002448,p28s8,"MB@[2, 9, 7]:374",9,374,4,"MB@[3, 9, 7]:139+MB@[4, 9, 5]:43+MB@[5, 9, 5]:90+MB@[6, 9, 2]:102",45
135,6000017,KH0049,6002455,p30s3,"AB@[2, 11, 2]:28",11,28,4,"AB@[3, 11, 1]:6+AB@[4, 11, 0]:1+AB@[5, 11, 0]:13+AB@[6, 11, 2]:8",45
136,6000017,KH0049,6002464,p32s4,"MB@[2, 13, 3]:9",13,9,2,"MB@[3, 13, 3]:4+MB@[6, 13, 1]:5",45
137,6000017,KH0049,6002467,p33s3,"AB@[2, 14, 2]:13",14,13,3,"AB@[3, 14, 2]:2+AB@[5, 14, 0]:6+AB@[6, 14, 1]:5",48
138,6000017,KH0049,6002470,p34s2,"W@[2, 15, 1]:6",15,6,3,"W@[3, 15, 1]:3+W@[5, 15, 1]:1+W@[6, 15, 2]:2",48
139,6000017,KH0049,6002471,p34s3,"AB@[2, 15, 2]:28",15,28,3,"AB@[3, 15, 2]:14+AB@[5, 15, 2]:9+AB@[6, 15, 3]:5",48
140,6000017,KH0049,6002473,p34s5,"MB@[2, 15, 4]:15",15,15,2,"MB@[3, 15, 3]:1+MB@[6, 15, 4]:14",45
141,6000017,KH0049,6002474,p35s1,"W@[2, 16, 0]:5",16,5,2,"W@[3, 16, 0]:3+W@[6, 16, 0]:2",45
142,6000017,KH0049,6002530,p52s3,"AB@[3, 15, 2]:14",15,14,2,"AB@[5, 15, 2]:9+AB@[6, 15, 3]:5",45
143,6000019,KH0058,6002959,p66s2,"YB@[8, 0, 1]:5",0,5,2,"YB@[5, 0, 3]:3+YB@[7, 0, 4]:2",-16
144,6000019,KH0058,6002960,p66s3,"MB@[8, 0, 2]:9",0,9,2,"MB@[6, 0, 0]:4+MB@[7, 0, 3]:5",-12
145,6000019,KH0058,6002876,p1s2,"YB@[0, 0, 1]:5",0,5,2,"YB@[2, 0, 0]:2+YB@[3, 0, 1]:3",20
146,6000019,KH0058,6002890,p9s2,"YB@[1, 0, 1]:6",0,6,2,"YB@[5, 0, 1]:4+YB@[7, 0, 4]:2",41
147,6000019,KH0058,6002891,p9s3,"YB@[1, 0, 2]:5",0,5,2,"YB@[5, 0, 3]:3+YB@[7, 0, 4]:2",41
148,6000019,KH0058,6002901,p17s4,"MB@[2, 0, 3]:25",0,25,5,"MB@[4, 0, 2]:1+MB@[5, 0, 2]:6+MB@[6, 0, 3]:4+MB@[7, 0, 3]:5+MB@[8, 0, 2]:9",33
149,6000023,KH0083,6003793,p49s1,"W-DB@[38, 0, 0]:11",0,11,4,"W-DB@[8, 0, 5]:4+W-DB@[9, 0, 6]:0+W-DB@[18, 0, 11]:0+W-DB@[19, 0, 10]:7",-24
150,6000023,KH0083,6003934,p84s5,"W@[58, 0, 7]:15",0,15,2,"W@[29, 0, 8]:0+W@[32, 0, 4]:15",-43
151,6000023,KH0083,6003936,p84s6,"W@[58, 0, 9]:15",0,15,2,"W@[29, 0, 8]:0+W@[32, 0, 4]:15",-43
152,6000023,KH0083,6003939,p84s9,"W@[58, 0, 12]:15",0,15,2,"W@[29, 0, 8]:0+W@[32, 0, 4]:15",-43
153,6000023,KH0083,6003503,p15s1,"W@[4, 0, 0]:114",0,114,19,"W@[14, 0, 0]:60+W@[15, 0, 0]:21+W@[16, 0, 0]:0+W@[17, 0, 0]:0+W@[19, 0, 0]:0+W@[20, 0, 0]:0+W@[21, 0, 0]:0+W@[22, 0, 0]:0+W@[24, 0, 6]:0+W@[25, 0, 0]:20+W@[26, 0, 0]:0+W@[27, 0, 0]:0+W@[28, 0, 0]:0+W@[29, 0, 8]:0+W@[30, 0, 0]:0+W@[31, 0, 0]:0+W@[32, 0, 4]:15+W@[33, 0, 0]:0+W@[36, 0, 0]:8",20
154,6000023,KH0083,6003594,p26s1,"W@[15, 0, 0]:21",0,21,2,"W@[55, 0, 0]:21+W@[58, 0, 0]:0",49
155,6000024,KH0197,6004002,p4s1,"W:MB@[1, 1, 0]:347",1,347,3,"W:MB@[5, 1, 0]:98+W:MB@[6, 1, 0]:5+W:MB@[11, 1, 0]:344",13
156,6000024,KH0197,6004062,p18s2,"W:HB@[8, 0, 2]:7",0,7,2,"W:HB@[11, 0, 1]:3+W:HB@[12, 0, 2]:4",7
157,6000024,KH0197,6004066,p20s2,"W:HB@[9, 0, 1]:6",0,6,2,"W:HB@[13, 0, 2]:3+W:HB@[14, 0, 2]:3",9
158,6000046,MM019,6005542,p180s1,"W@[37, 0, 0]:6",0,6,2,"W@[3, 0, 0]:6+W@[35, 0, 0]:0",-81
159,6000046,MM019,6005502,p23s1,"W@[3, 0, 0]:6",0,6,2,"W@[35, 0, 0]:0+W@[37, 0, 0]:6",154
160,6000056,QU007,6006329,p27s1,"B@[6, 2, 0]:10",2,10,2,"B@[1, 2, 0]:5+B@[2, 2, 1]:5",-18
161,6000056,QU007,6006333,p31s1,"B@[7, 2, 0]:6",2,6,2,"B@[2, 2, 1]:5+B@[3, 2, 0]:1",-18
162,6000061,QU012,6007091,p117s1,"B@[12, 3, 0]:10",3,10,2,"B@[3, 3, 1]:9+B@[6, 3, 0]:1",-98
163,6000085,UR165,6010924,p32s1,"MB@[6, 0, 0]:580",0,580,4,"MB@[8, 0, 0]:8+MB@[9, 0, 0]:442+MB@[13, 0, 0]:0+MB@[14, 0, 0]:30",17
