,name,num_sum_cords,num_summand_cords,num_summation_cords,num_nonzero_pendants,ratio_sums_to_pendants
150,UR068,9,30,37,51,73
151,UR069,8,19,22,23,96
152,UR072,11,51,57,59,97
153,UR073,4,32,35,36,97
154,UR074,4,25,28,58,48
155,UR079,4,21,24,25,96
156,UR080,1,9,10,7,143
157,UR085,34,74,92,143,64
158,UR086,39,71,87,93,94
159,UR087,44,208,231,266,87
160,UR088,6,17,22,47,47
161,UR089,43,122,140,171,82
162,UR090,34,81,92,106,87
163,UR091,11,24,30,54,56
164,UR093,10,160,165,164,101
165,UR094,1,2,3,20,15
166,UR095,6,12,17,24,71
167,UR097,8,55,57,32,178
168,UR102,7,32,37,44,84
169,UR1032,1,9,10,149,7
170,UR1033A,1,2,3,4,75
171,UR1033D,5,16,19,23,83
172,UR1033F,3,10,11,19,58
173,UR1034,23,67,83,95,87
174,UR104,2,7,9,14,64
175,UR1040,1,2,3,24,12
176,UR1051,2,7,9,32,28
177,UR1057,18,116,128,161,80
178,UR107,2,10,12,25,48
179,UR1084,49,144,173,258,67
180,UR1087,19,45,53,88,60
181,UR1088,7,42,45,83,54
182,UR1091,15,71,78,77,101
183,UR1095,60,122,132,141,94
184,UR1096,12,55,58,53,109
185,UR1098,7,21,26,36,72
186,UR1099,3,5,8,48,17
187,UR1100,10,26,27,62,44
188,UR1102,5,7,11,18,61
189,UR1103,5,12,16,42,38
190,UR1105,1,2,3,10,30
191,UR1106,5,9,14,38,37
192,UR1107,6,14,18,26,69
193,UR1108,1,18,19,23,83
194,UR1109,33,70,94,227,41
195,UR111,16,96,102,65,157
196,UR1113,49,66,89,111,80
197,UR1114,87,237,267,157,170
198,UR1116,1,5,6,12,50
199,UR1121,3,12,15,20,75
200,UR1123,18,44,53,58,91
201,UR1124,8,14,19,30,63
202,UR1126,14,37,47,91,52
203,UR1127,2,4,5,5,100
204,UR113,100,263,310,268,116
205,UR1131,50,87,114,124,92
206,UR1135,2,3,5,20,25
207,UR1136,74,119,154,162,95
208,UR1138,6,9,14,35,40
209,UR114,5,49,54,85,64
210,UR1140,89,134,171,180,95
211,UR1144,7,16,22,56,39
212,UR1145,17,53,61,73,84
213,UR1146,14,50,61,95,64
214,UR1147,2,15,17,18,94
215,UR1149,11,33,39,106,37
216,UR1150,5,7,10,26,38
217,UR1151,2,9,11,18,61
218,UR1152,13,46,52,69,75
219,UR1161,1,3,4,8,50
220,UR1163,6,17,19,22,86
221,UR1165,1,4,5,13,38
222,UR1166,28,85,100,67,149
223,UR116A,9,47,50,57,88
224,UR116B,2,12,14,13,108
225,UR1175,84,148,188,185,102
226,UR1176,49,167,183,91,201
227,UR1179,1,2,3,21,14
228,UR117C,1,7,8,7,114
229,UR117D,2,11,12,22,55
230,UR118,63,117,137,159,86
231,UR119,47,101,125,152,82
232,UR120,17,36,42,44,95
233,UR121,3,6,8,16,50
