,khipu_id,name,num_sum_cords,num_left_sums,num_right_sums,max_indexed_subsidiary_cords,min_sum,max_sum,mean_sum,handedness
266,1000261,UR066,0,0,0,0,0,0,0,0
267,1000260,UR067,0,0,0,0,0,0,0,0
268,1000262,UR068,0,0,0,0,0,0,0,0
269,1000245,UR069,0,0,0,0,0,0,0,0
270,1000247,UR070,0,0,0,0,0,0,0,0
271,1000248,UR071,0,0,0,0,0,0,0,0
272,1000249,UR072,0,0,0,0,0,0,0,0
273,1000250,UR073,0,0,0,0,0,0,0,0
274,1000251,UR074,0,0,0,0,0,0,0,0
275,1000252,UR075,0,0,0,0,0,0,0,0
276,1000253,UR076,0,0,0,0,0,0,0,0
277,1000244,UR077,0,0,0,0,0,0,0,0
278,1000254,UR078,0,0,0,0,0,0,0,0
279,1000255,UR079,1,1,0,9,25,25,25,-8
280,1000256,UR080,0,0,0,0,0,0,0,0
281,1000257,UR081,0,0,0,0,0,0,0,0
282,1000258,UR082,0,0,0,0,0,0,0,0
283,1000319,UR084,0,0,0,0,0,0,0,0
284,1000280,UR085,1,0,1,3,159,159,159,77
285,1000336,UR086,0,0,0,0,0,0,0,0
286,1000273,UR087,0,0,0,0,0,0,0,0
287,1000270,UR088,0,0,0,0,0,0,0,0
288,1000275,UR089,16,8,8,3,11,44,14,5.3125
289,1000274,UR090,0,0,0,0,0,0,0,0
290,1000271,UR091,0,0,0,0,0,0,0,0
291,1000272,UR092,0,0,0,0,0,0,0,0
292,1000321,UR093,3,1,2,5,12,24,20,27.333333333333332
293,1000337,UR094,0,0,0,0,0,0,0,0
294,1000338,UR095,0,0,0,0,0,0,0,0
295,1000339,UR096,0,0,0,0,0,0,0,0
296,1000340,UR097,0,0,0,0,0,0,0,0
297,1000347,UR098,0,0,0,0,0,0,0,0
298,1000348,UR099,0,0,0,0,0,0,0,0
299,1000349,UR100,0,0,0,0,0,0,0,0
300,1000350,UR101,0,0,0,0,0,0,0,0
301,1000351,UR102,0,0,0,0,0,0,0,0
302,1000352,UR103,0,0,0,0,0,0,0,0
303,1000103,UR1032,0,0,0,0,0,0,0,0
304,1000105,UR1033A,0,0,0,0,0,0,0,0
305,1000106,UR1033B,0,0,0,0,0,0,0,0
306,1000107,UR1033C,0,0,0,0,0,0,0,0
307,1000108,UR1033D,0,0,0,0,0,0,0,0
308,1000109,UR1033E,0,0,0,0,0,0,0,0
309,1000110,UR1033F,0,0,0,0,0,0,0,0
310,1000111,UR1033G,0,0,0,0,0,0,0,0
311,1000333,UR1034,16,8,8,6,11,22,13,-15.5625
312,1000353,UR104,0,0,0,0,0,0,0,0
313,1000208,UR1040,0,0,0,0,0,0,0,0
314,1000230,UR1049,0,0,0,0,0,0,0,0
315,1000354,UR105,0,0,0,0,0,0,0,0
316,1000214,UR1051,0,0,0,0,0,0,0,0
317,1000170,UR1052,0,0,0,0,0,0,0,0
318,1000169,UR1053,0,0,0,0,0,0,0,0
319,1000183,UR1057,1,1,0,5,145,145,145,-219
320,1000176,UR1058,0,0,0,0,0,0,0,0
321,1000355,UR106,0,0,0,0,0,0,0,0
322,1000356,UR107,0,0,0,0,0,0,0,0
323,1000357,UR108,0,0,0,0,0,0,0,0
324,1000344,UR1084,0,0,0,0,0,0,0,0
325,1000310,UR1087,0,0,0,0,0,0,0,0
326,1000313,UR1088,0,0,0,0,0,0,0,0
327,1000358,UR109,0,0,0,0,0,0,0,0
328,1000312,UR1091,0,0,0,0,0,0,0,0
329,1000314,UR1095,26,19,7,8,12,1230,99,-49.88461538461539
330,1000315,UR1096,0,0,0,0,0,0,0,0
