,khipu_id,name,num_sum_clusters,min_sum,max_sum,mean_sum
413,1000387,UR137,0,0,0,0
414,1000386,UR138,0,0,0,0
415,1000407,UR139,0,0,0,0
416,1000408,UR140,0,0,0,0
417,1000409,UR141,0,0,0,0
418,1000406,UR142,0,0,0,0
419,1000401,UR143,0,0,0,0
420,1000415,UR145,3,24,33,29
421,1000418,UR146,1,180,180,180
422,1000400,UR147,0,0,0,0
423,1000414,UR148,0,0,0,0
424,1000413,UR149,0,0,0,0
425,1000405,UR150,1,152,152,152
426,1000404,UR151,0,0,0,0
427,1000402,UR152,0,0,0,0
428,1000403,UR153,0,0,0,0
429,1000399,UR154,0,0,0,0
430,1000410,UR156,0,0,0,0
431,1000416,UR157,0,0,0,0
432,1000417,UR158,0,0,0,0
433,1000411,UR159,0,0,0,0
434,1000397,UR160,1,147,147,147
435,1000395,UR161,0,0,0,0
436,1000393,UR162,0,0,0,0
437,1000412,UR164,0,0,0,0
438,1000496,UR166,3,612,805,691
439,1000475,UR168,0,0,0,0
440,1000477,UR169,0,0,0,0
441,1000492,UR170,0,0,0,0
442,1000478,UR171,0,0,0,0
443,1000479,UR172,1,29,29,29
444,1000481,UR173,0,0,0,0
445,1000480,UR174,0,0,0,0
446,1000483,UR175,0,0,0,0
447,1000494,UR177,0,0,0,0
448,1000485,UR178,0,0,0,0
449,1000489,UR179,0,0,0,0
450,1000486,UR180,0,0,0,0
451,1000482,UR182,0,0,0,0
452,1000487,UR183,0,0,0,0
453,1000488,UR184,0,0,0,0
454,1000490,UR185,0,0,0,0
455,1000497,UR186,2,89,596,342
456,1000495,UR187,0,0,0,0
457,1000499,UR188,0,0,0,0
458,1000500,UR189,0,0,0,0
459,1000502,UR191,0,0,0,0
460,1000503,UR192,0,0,0,0
461,1000505,UR194,0,0,0,0
462,1000506,UR195,1,36,36,36
463,1000507,UR196,1,24,24,24
464,1000508,UR197,0,0,0,0
465,1000509,UR198,4,22,58,32
466,1000510,UR199,4,51,94,68
467,1000511,UR200,0,0,0,0
468,1000512,UR201,0,0,0,0
469,1000513,UR202,0,0,0,0
470,1000514,UR203,0,0,0,0
471,1000515,UR204,1,100,100,100
472,1000516,UR205,0,0,0,0
473,1000517,UR206,0,0,0,0
474,1000518,UR207,0,0,0,0
475,1000519,UR208,2,72,100,86
