,khipu_id,name,cord_id,cord_name,cord_position,cord_position_index,parent_cord_position,cord_value,cord_color,num_summands,sum_string,handedness
223,1000275,UR089,3022069,p21s2,"W:AB@[3, 2, 1]:14","(2, 1)","MB@[3, 2]:3",14,W:AB,3,"W@[8, 34]:5 + W@[8, 35]:5 + RB@[8, 36]:4",155
224,1000275,UR089,3022072,p27s1,"W:MB@[4, 2, 0]:11","(2, 0)","W:MB@[4, 2]:4",11,W:MB,3,"W:MB@[4, 4]:4 + W:MB@[4, 5]:4 + BG:KB@[4, 6]:3",3
225,1000275,UR089,3022078,p33s2,"W:AB@[4, 8, 1]:14","(8, 1)","BG:KB@[4, 8]:2",14,W:AB,3,"W@[8, 34]:5 + W@[8, 35]:5 + RB@[8, 36]:4",143
226,1000275,UR089,3022099,p58s1,"AB@[4, 33, 0]:44","(33, 0)","AB:GG@[4, 33]:16",44,AB,3,"LG:AB@[6, 27]:35 + LG:AB@[6, 28]:4 + LG:AB@[6, 29]:5",44
227,1000275,UR089,3022118,p155s1,"W:AB@[8, 14, 0]:12","(14, 0)","W:MB@[8, 14]:3",12,W:AB,3,"W:MB@[8, 17]:5 + AB@[8, 18]:4 + AB@[8, 19]:3",4
228,1000321,UR093,3028040,p151s7,"W:GG@[8, 1, 6]:24","(1, 6)","AB@[8, 1]:73",24,W:GG,5,"AB@[6, 15]:10 + AB@[7, 0]:1 + RB@[7, 1]:1 + AB@[7, 2]:1 + 0G@[7, 4]:11",-18
229,1000321,UR093,3028036,p151s3,"W@[8, 1, 2]:12","(1, 2)","AB@[8, 1]:73",12,W,3,"MB@[10, 2]:7 + W:MB@[10, 3]:4 + 0L@[10, 4]:1",42
230,1000321,UR093,3028040,p151s7,"W:GG@[8, 1, 6]:24","(1, 6)","AB@[8, 1]:73",24,W:GG,3,"DB@[11, 3]:3 + W:AB@[11, 4]:20 + AB@[11, 5]:1",58
231,1000333,UR1034,3029540,p36s2,"YB@[7, 1, 1]:18","(1, 1)","YB@[7, 1]:30",18,YB,5,"YB@[0, 3]:3 + YB@[0, 4]:1 + YB@[1, 0]:5 + YB@[1, 1]:4 + YB@[1, 2]:5",-30
232,1000333,UR1034,3029542,p37s2,"YB@[7, 2, 1]:22","(2, 1)","YB@[7, 2]:30",22,YB,6,"YB@[1, 0]:5 + YB@[1, 1]:4 + YB@[1, 2]:5 + YB@[1, 3]:2 + YB@[1, 4]:2 + YB@[2, 0]:4",-28
