,khipu_id,name,num_sum_cords,num_left_sums,num_right_sums,min_sum,max_sum,mean_sum,handedness
211,1000005,UR005,18,14,4,18,135,69,-14.222222222222221
212,1000025,UR006,24,13,11,11,21,14,1.125
213,1000006,UR007,0,0,0,0,0,0,0
214,1000001,UR008,0,0,0,0,0,0,0
215,1000019,UR009,12,6,6,11,61,22,-1.25
216,1000004,UR010,103,54,49,11,153,36,1.4271844660194175
217,1000007,UR011,33,12,21,21,951,132,20.666666666666668
218,1000009,UR012,19,4,15,13,159,35,8.157894736842104
219,1000008,UR013,4,4,0,15,66,46,-5.75
220,1000011,UR014,2,1,1,14,19,16,-2
221,1000010,UR015,7,4,3,60,2018,582,-0.14285714285714285
222,1000018,UR016,86,40,46,11,99,34,0.5930232558139535
223,1000003,UR018,1,1,0,95,95,95,-9
224,1000000,UR019,0,0,0,0,0,0,0
225,1000002,UR020,1,0,1,404,404,404,10
226,1000022,UR021,11,7,4,11,61,25,0.7272727272727273
227,1000045,UR022,130,49,81,12,572,58,26.06153846153846
228,1000307,UR023,0,0,0,0,0,0,0
229,1000306,UR024,0,0,0,0,0,0,0
230,1000335,UR026,5,3,2,34,830,417,-8.4
231,1000303,UR027,0,0,0,0,0,0,0
232,1000304,UR028,3,0,3,12,29,18,5
233,1000305,UR029,0,0,0,0,0,0,0
234,1000330,UR032,2,0,2,107,204,155,14
235,1000276,UR033,0,0,0,0,0,0,0
236,1000380,UR034,36,17,19,11,766,73,1.3611111111111112
237,1000331,UR037,17,6,11,14,42,23,4.352941176470588
238,1000277,UR038,3,2,1,30,297,170,0.6666666666666666
239,1000098,UR040,0,0,0,0,0,0,0
240,1000099,UR041,10,5,5,12,32,22,0.9
241,1000100,UR042,2,0,2,14,25,19,3.5
242,1000332,UR045,14,8,6,11,21,14,0.42857142857142855
243,1000241,UR046,0,0,0,0,0,0,0
244,1000240,UR047,5,3,2,60,120,88,-2
245,1000239,UR048,6,2,4,12,25,16,5.5
246,1000238,UR049,55,33,22,15,610,200,-22.87272727272727
247,1000375,UR051,15,7,8,11,28,15,1.4666666666666666
248,1000265,UR053A,1,0,1,372,372,372,22
249,1000266,UR053B,6,0,6,27,74,51,7.5
250,1000267,UR053C,17,8,9,16,74,44,1
251,1000268,UR053D,23,11,12,24,311,115,9.130434782608695
252,1000269,UR053E,35,16,19,11,81,26,1.7428571428571429
253,1000295,UR056A,6,4,2,11,54,22,-3.6666666666666665
254,1000296,UR056B,12,6,6,15,45,26,0
255,1000297,UR056C,5,2,3,11,51,24,3.4
256,1000309,UR057,2,0,2,16,20,18,8
257,1000298,UR058A,0,0,0,0,0,0,0
258,1000299,UR058B,0,0,0,0,0,0,0
259,1000390,UR059,28,17,11,12,236,46,0.14285714285714285
260,1000264,UR060,2,1,1,16,16,16,1.5
261,1000246,UR061,5,1,4,38,148,85,10.4
262,1000243,UR062,3,1,2,43,203,122,4.333333333333333
263,1000259,UR063,9,6,3,12,157,43,-8.11111111111111
264,1000263,UR064,10,4,6,12,64,42,4.6
265,1000242,UR065,0,0,0,0,0,0,0
266,1000261,UR066,1,1,0,12,12,12,-4
267,1000260,UR067,2,2,0,12,22,17,-7
268,1000262,UR068,10,4,6,13,64,47,1.9
269,1000245,UR069,8,4,4,14,140,52,-3.625
270,1000247,UR070,0,0,0,0,0,0,0
271,1000248,UR071,0,0,0,0,0,0,0
272,1000249,UR072,14,4,10,12,100,28,6.071428571428571
273,1000250,UR073,7,4,3,11,148,69,-8.714285714285714
274,1000251,UR074,5,2,3,22,34,30,2.4
275,1000252,UR075,0,0,0,0,0,0,0
276,1000253,UR076,0,0,0,0,0,0,0
